,open,high,low,close,volume,timestamp
191,227.99,228.9,225.84,228.0,6060015.0,2025-01-17
192,229.0,235.53,226.81,232.12,8569679.0,2025-01-20
193,233.4,233.4,228.39,229.61,5923042.0,2025-01-21
194,230.0,231.1,223.52,228.38,9955733.0,2025-01-22
195,227.5,231.25,225.52,229.16,7731880.0,2025-01-23
196,228.36,230.01,224.6,225.21,7498269.0,2025-01-24
197,223.0,224.87,218.45,219.62,7821158.0,2025-01-27
198,224.5,225.29,220.1,221.76,12792946.0,2025-01-28
199,222.7,224.9,221.07,222.59,8514453.0,2025-01-29
200,223.9,225.84,221.69,222.39,10812716.0,2025-01-30
201,218.5,218.5,211.05,213.39,50873400.0,2025-01-31
202,216.0,216.42,207.61,210.84,16153674.0,2025-02-01
203,211.09,211.09,206.55,207.99,13272380.0,2025-02-03
204,210.5,214.5,210.11,212.89,12129201.0,2025-02-04
205,215.0,221.11,214.12,220.02,15759413.0,2025-02-05
206,221.6,222.58,218.01,219.71,10170330.0,2025-02-06
207,220.0,220.82,215.05,216.32,9557681.0,2025-02-07
208,216.5,217.16,213.64,215.23,4292326.0,2025-02-10
209,216.0,216.99,209.5,210.78,5669659.0,2025-02-11
210,212.9,214.2,205.71,212.54,8728432.0,2025-02-12
211,212.98,214.21,210.5,210.8,5986171.0,2025-02-13
212,211.7,212.86,202.25,205.16,10600160.0,2025-02-14
213,204.98,207.45,200.18,206.96,7113238.0,2025-02-17
214,205.53,207.29,203.3,206.09,6382336.0,2025-02-18
215,204.2,209.89,203.52,208.89,5908141.0,2025-02-19
216,208.51,213.95,207.11,213.57,5212633.0,2025-02-20
217,212.03,214.95,209.13,210.27,7935366.0,2025-02-21
218,208.0,209.42,206.5,208.63,4609750.0,2025-02-24
219,208.63,209.57,204.35,204.77,5449460.0,2025-02-25
220,207.0,208.51,201.78,203.18,9246629.0,2025-02-27
221,202.0,202.0,196.01,197.07,14293523.0,2025-02-28
222,198.1,199.19,193.04,195.91,11080593.0,2025-03-03
223,194.01,197.64,190.7,195.92,15521855.0,2025-03-04
224,195.9,205.74,195.89,205.22,9984238.0,2025-03-05
225,207.0,210.38,206.24,207.16,7708374.0,2025-03-06
226,206.85,208.1,204.52,205.9,6253445.0,2025-03-07
227,206.0,206.84,203.03,204.03,9737436.0,2025-03-10
228,203.0,204.8,201.4,202.56,12900521.0,2025-03-11
229,203.56,204.8,201.11,202.4,13928062.0,2025-03-12
230,203.7,207.95,202.3,205.52,8576303.0,2025-03-13
231,206.9,206.99,204.3,205.74,6086414.0,2025-03-17
232,206.55,209.95,205.75,209.34,9116780.0,2025-03-18
233,210.0,213.99,209.42,213.76,8786037.0,2025-03-19
234,214.65,217.75,214.65,215.65,8936273.0,2025-03-20
235,215.6,217.19,214.36,216.7,9614502.0,2025-03-21
236,218.7,225.14,217.1,224.47,13453091.0,2025-03-24
237,225.9,225.9,220.7,223.07,9683595.0,2025-03-25
238,223.0,225.0,219.53,220.34,8824925.0,2025-03-26
239,219.5,232.0,219.0,230.98,38539990.0,2025-03-27
240,230.98,233.75,226.86,228.53,12275939.0,2025-03-28
241,227.92,231.54,226.79,228.58,5686405.0,2025-04-01
242,230.0,232.67,226.31,231.52,11817603.0,2025-04-02
243,228.25,238.5,228.25,236.78,10557954.0,2025-04-03
244,238.9,242.34,232.83,234.32,13578143.0,2025-04-04
245,220.0,230.34,219.0,229.36,13391046.0,2025-04-07
246,232.0,236.6,231.13,235.84,9329948.0,2025-04-08
247,235.0,235.88,229.05,230.21,9003748.0,2025-04-09
